SITE_CODE,MSMT_DATE,RPE,GSE,RPE_WSE,WSE,GSE_WSE,WLM_QA_DESC,SUBMITTING_ORG_NAME,COLLECTING_ORG_NAME,MSMT_CMT
346182N1201206W001,04/15/1975 10:46:00,560.61,565.31,41.48,519.13,46.18,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1976 09:30:00,560.61,565.31,29.76,530.85,34.46,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1977 11:16:00,560.61,565.31,32.78,527.83,37.48,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1978 11:16:00,560.61,565.31,23.55,537.06,28.25,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1979 11:31:00,560.61,565.31,25.15,535.46,29.85,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1980 11:16:00,560.61,565.31,24.2,536.41,28.9,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1981 10:45:00,560.61,565.31,24.24,536.37,28.94,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,03/15/1982 10:16:00,560.61,565.31,27.73,532.88,32.43,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1983 11:31:00,560.61,565.31,23.4,537.21,28.1,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
346182N1201206W001,04/15/1984 11:31:00,560.61,565.31,24.02,536.59,28.72,,Santa Ynez River Valley Basin Eastern Management Area GSA,Santa Ynez River Valley Basin Eastern Management Area GSA,measured by U.S. Geological Survey
